CoCode,Company Names,[Year & Month](All),[Month](All),[Year](All),[High](All),[Low](All),[Close](All),[High PE](All),[Low PE](All),[Close PE](All),[Market Cap](All),[Volume](All),[No of Trades](All),[Net Turnover-Rs Thousands](All)
3219,Pidilite Inds.,201402,2,2014,289,271.1,286.35,33.47,30.95,32.94,14678.301,3635127,43958,1013162.203
3219,Pidilite Inds.,201403,3,2014,310,278,307.05,34.59,30.53,33.93,15739.38,4586210,116807,1332203.104
3219,Pidilite Inds.,201404,4,2014,341.1,301.05,318.5,37.97,32.48,35.2,16326.31,3127630,111783,1011754.168
3219,Pidilite Inds.,201405,5,2014,335.55,292,302.75,37.97,30.26,33.46,15518.97,4678787,109251,1472625.084
3219,Pidilite Inds.,201406,6,2014,327.4,285.45,325.8,36.36,30.33,36.01,16700.51,8939698,189108,2697265.001
3219,Pidilite Inds.,201407,7,2014,375,320.25,372.3,41.74,34.93,41.14,19084.1,3367345,105870,1157006.143
3219,Pidilite Inds.,201408,8,2014,423,352.5,410.5,47.9,37.43,45.37,21042.23,4200375,113395,1619506.62
3219,Pidilite Inds.,201409,9,2014,414.55,381.55,397.1,46.41,41.68,43.89,20355.35,4622447,100918,1836156.724
3219,Pidilite Inds.,201410,10,2014,422,377.5,414.2,47.74,41.25,45.78,21231.89,2800135,65895,1118287.272
3219,Pidilite Inds.,201411,11,2014,462.35,395.85,460.3,51.33,43.31,50.88,23597.87,9575624,158074,4100566.3
3219,Pidilite Inds.,201412,12,2014,548.2,409.8,543.05,61.17,40.6,60.02,27840.15,8495031,197625,4192502.35
3219,Pidilite Inds.,201501,1,2015,607,518.05,570.7,70.72,56.8,63.08,29257.67,11057077,343322,6194875.988
3219,Pidilite Inds.,201502,2,2015,591.85,528,561.45,66.71,57.43,62.06,28783.45,4239883,162854,2368722.608
3219,Pidilite Inds.,201503,3,2015,638,564,599.85,66.62,55.53,61,30752.08,12592680,417496,7668695.896
3219,Pidilite Inds.,201504,4,2015,611.7,537,567.05,63.15,53.9,57.66,29070.55,7226497,290765,4184054.685
3219,Pidilite Inds.,201505,5,2015,611.95,535.25,552.05,63.76,52.95,56.13,28301.55,7595775,241329,4305740.942
3219,Pidilite Inds.,201506,6,2015,567.85,521.1,550.4,58.2,52.51,55.97,28216.96,6080899,172574,3317055.381
3219,Pidilite Inds.,201507,7,2015,578,531,558.15,60.36,53.23,56.76,28614.28,6988142,224981,3876531.777
3219,Pidilite Inds.,201508,8,2015,610.8,507.3,570.85,63.98,48.38,58.05,29265.36,9356510,253326,5390642.606
3219,Pidilite Inds.,201509,9,2015,576.95,542,567.85,59.74,54.24,57.74,29111.56,3807699,182182,2128475.096
3219,Pidilite Inds.,201510,10,2015,589.9,555,561.6,61.04,55.77,57.11,28791.14,4561194,194281,2626162.061
3219,Pidilite Inds.,201511,11,2015,579.9,523.05,558.3,60.03,52.41,56.77,28622.66,4983804,132317,2723136.164
3219,Pidilite Inds.,201512,12,2015,564.85,520.3,552.45,58.61,51.79,56.18,28322.75,8117905,178475,4419564.577
3219,Pidilite Inds.,201601,1,2016,575.9,528.5,566.25,60.57,53.11,57.58,29030.24,9168482,147674,5053811.114
3219,Pidilite Inds.,201602,2,2016,648,558,586.65,67.15,55.84,59.65,30076.1,12764486,442812,7652149.227
3219,Pidilite Inds.,201603,3,2016,610,562.45,589.3,42.23,37.52,40.37,30211.96,8749270,269292,5205815.636
3219,Pidilite Inds.,201604,4,2016,633.75,582.4,603.05,44.34,39.39,41.32,30916.89,5874718,249845,3556731.462
3219,Pidilite Inds.,201605,5,2016,709,583.25,706.25,48.76,39.56,48.39,36207.7,13955843,385830,9070081.252
3219,Pidilite Inds.,201606,6,2016,733.5,666.55,719.9,51.2,44.15,49.32,36907.5,9904280,340307,7014398.305
3219,Pidilite Inds.,201607,7,2016,769.3,710,730.8,55.48,48.49,50.07,37466.31,9179000,319121,6738648.415
3219,Pidilite Inds.,201608,8,2016,748,678.7,698.55,51.82,46.29,47.86,35812.94,12125922,420171,8632052.388
3219,Pidilite Inds.,201609,9,2016,725.45,648.2,681.6,50.41,43.21,46.7,34943.95,10403117,323546,7278761.591
3219,Pidilite Inds.,201610,10,2016,749,685,725.4,52.38,44.39,49.7,37189.47,10754006,263667,7761312.2
3219,Pidilite Inds.,201611,11,2016,726.95,583.65,640.4,50.89,37.82,43.87,32831.73,10887856,357860,6989294.744
3219,Pidilite Inds.,201612,12,2016,647.95,567.75,589.8,45.19,38.4,40.41,30237.59,7557716,294092,4592647.113
3219,Pidilite Inds.,201701,1,2017,701.5,589.6,673.5,48.89,39.4,46.14,34528.68,9749076,236016,6336071.921
3219,Pidilite Inds.,201702,2,2017,712,662.2,682.15,49.64,45.31,46.73,34972.15,8053265,242544,5511555.425
3219,Pidilite Inds.,201703,3,2017,712,665.05,699.15,44.14,40.31,42.73,35844.21,9970415,266724,6875599.066
3219,Pidilite Inds.,201704,4,2017,738,695.55,719.8,45.82,41.68,43.99,36902.9,6658549,204731,4766582.956
3219,Pidilite Inds.,201705,5,2017,782.8,716,770.15,48.32,42.89,47.07,39484.26,10567480,295883,7908693.037
3219,Pidilite Inds.,201706,6,2017,838.55,762,805.6,51.75,46.34,49.23,41301.72,8406535,286392,6761033.422
3219,Pidilite Inds.,201707,7,2017,834.95,781.05,795.85,51.32,47.32,48.64,40801.86,10955046,350084,8864873.6
3219,Pidilite Inds.,201708,8,2017,843.7,775.3,835.9,52.03,46.48,51.09,42856.95,7871646,267989,6391841.23
3219,Pidilite Inds.,201709,9,2017,868.45,775,794.5,54.15,47.23,48.57,40742.78,6751781,242636,5616201.315
3219,Pidilite Inds.,201710,10,2017,820.95,780,781.8,51.42,47.57,47.79,40091.51,6853360,300076,5460416.615
3219,Pidilite Inds.,201711,11,2017,859,751.3,842.2,53,44.88,51.48,43188.89,11286134,385955,9139974.316
3219,Pidilite Inds.,201712,12,2017,971.7,825,902.2,62.29,49.93,55.15,46265.75,15505938,418687,13952114.6
3219,Pidilite Inds.,201801,1,2018,922.9,870.05,896.3,56.91,52.82,54.79,45963.19,10095187,340805,9060616.096
3219,Pidilite Inds.,201802,2,2018,910.35,845.05,900.95,56.09,50.38,55.07,46201.65,11951404,312340,10604462.2
3219,Pidilite Inds.,201803,3,2018,934.9,858.35,917.8,50.6,45.32,48.77,46606.83,8614390,302924,7799548.262
3219,Pidilite Inds.,201804,4,2018,1099,918.45,1086.2,60.05,47.61,57.71,55158.36,12826737,475254,13113428.04
3219,Pidilite Inds.,201805,5,2018,1195.4,1041.5,1157.6,63.92,50.58,61.51,58784.12,29281633,927078,33286723.34
